8/27/2014,Georgia St,38,Abilene Chr,37
11/8/2014,Alabama,20,LSU,13
11/8/2014,Baylor,48,Oklahoma,14
11/8/2014,Texas A&M,41,Auburn,38
11/8/2014,Arizona,38,Colorado,20
11/8/2014,Colorado St,49,Hawaii,22
11/8/2014,Oregon,51,Utah,27
11/8/2014,Arizona St,55,Notre Dame,31
11/8/2014,Washington St,39,Oregon St,32
11/8/2014,San Diego St,35,Idaho,21
11/8/2014,Air Force,48,UNLV,21
11/8/2014,UCLA,44,Washington,30
11/8/2014,Army,35,Connecticut,21
11/8/2014,Boise St,60,New Mexico,49
11/8/2014,ULL,44,New Mexico St,16
11/8/2014,Fresno St,38,San Jose St,24
11/11/2014,Buffalo,55,Akron,24
11/11/2014,N Illinois,27,Toledo,24
11/12/2014,Bowling Green,30,Kent,20
11/12/2014,Massachusetts,24,Ball St,10
11/13/2014,UT San Antonio,12,Southern Miss,10
11/13/2014,USC,38,California,30
11/13/2014,Cincinnati,54,East Carolina,46
11/14/2014,UCF,31,Tulsa,7
11/15/2014,C Michigan,34,Miami OH,27
11/15/2014,Virginia Tech,17,Duke,16
11/15/2014,Florida Intl,38,MTSU,28
11/15/2014,Marshall,41,Rice,14
11/15/2014,Navy,52,Ga Southern,19
11/15/2014,North Carolina,40,Pittsburgh,35
11/15/2014,NC State,42,Wake Forest,13
11/15/2014,Penn St,30,Temple,13
11/15/2014,Rutgers,45,Indiana,23
11/15/2014,Tennessee,50,Kentucky,16
11/15/2014,W Michigan,51,E Michigan,7
11/15/2014,Florida St,30,Miami FL,26
11/15/2014,Georgia,34,Auburn,7
11/15/2014,South Carolina,23,Florida,20
11/15/2014,Georgia Tech,28,Clemson,6
11/15/2014,Alabama,25,Mississippi St,20
11/15/2014,Appalachian St,37,Arkansas St,32
11/15/2014,Iowa,30,Illinois,14
11/15/2014,TCU,34,Kansas,30
11/15/2014,Texas,28,Oklahoma St,7
11/15/2014,South Florida,14,SMU,13
11/15/2014,South Alabama,24,Texas St,20
11/15/2014,Memphis,38,Tulane,7
11/15/2014,WKU,52,Army,24
11/15/2014,Wisconsin,59,Nebraska,24
11/15/2014,Missouri,34,Texas A&M,27
11/15/2014,Oklahoma,42,Texas Tech,30
11/15/2014,Ohio St,31,Minnesota,24
11/15/2014,Arkansas,17,LSU,0
11/15/2014,Air Force,45,Nevada,38
11/15/2014,BYU,42,UNLV,23
11/15/2014,Boise St,38,San Diego St,29
11/15/2014,UTEP,35,North Texas,17
11/15/2014,Utah St,28,New Mexico,21
11/15/2014,Arizona,27,Washington,26
11/15/2014,Troy,34,Idaho,17
11/15/2014,Hawaii,13,San Jose St,0
11/15/2014,Utah,20,Stanford,17
11/15/2014,Oregon St,35,Arizona St,27
11/15/2014,Northwestern,43,Notre Dame,40
11/15/2014,ULL,34,ULM,27
11/15/2014,Michigan St,37,Maryland,15
11/18/2014,Akron,30,Massachusetts,6
11/18/2014,N Illinois,21,Ohio,14
11/19/2014,Toledo,27,Bowling Green,20
11/20/2014,Kansas St,26,West Virginia,20
11/20/2014,North Carolina,45,Duke,20
11/20/2014,Texas St,45,Arkansas St,27
11/21/2014,Rice,31,UTEP,13
11/21/2014,San Diego St,30,Air Force,14
11/21/2014,Utah St,41,San Jose St,7
11/22/2014,Army,42,Fordham,31
11/22/2014,Ball St,45,E Michigan,30
11/22/2014,W Michigan,32,C Michigan,20
11/22/2014,Clemson,28,Georgia St,0
11/22/2014,Cincinnati,41,Connecticut,0
11/22/2014,East Carolina,34,Tulane,6
11/22/2014,Florida,52,E Kentucky,3
11/22/2014,Florida St,20,Boston College,17
11/22/2014,Georgia,55,Charleston So,9
11/22/2014,Maryland,23,Michigan,16
11/22/2014,Michigan St,45,Rutgers,3
11/22/2014,Ohio St,42,Indiana,27
11/22/2014,Old Dominion,30,Louisiana Tech,27
11/22/2014,Pittsburgh,30,Syracuse,7
11/22/2014,Northwestern,38,Purdue,14
11/22/2014,South Carolina,37,South Alabama,12
11/22/2014,UCF,53,SMU,7
11/22/2014,Virginia,30,Miami FL,13
11/22/2014,Wake Forest,6,Virginia Tech,3
11/22/2014,Missouri,29,Tennessee,21
11/22/2014,Alabama,48,W Carolina,14
11/22/2014,Arkansas,30,Mississippi,0
11/22/2014,Auburn,31,Samford,7
11/22/2014,Houston,38,Tulsa,28
11/22/2014,Illinois,16,Penn St,14
11/22/2014,Texas Tech,34,Iowa St,31
11/22/2014,Appalachian St,35,ULL,16
11/22/2014,Memphis,31,South Florida,20
11/22/2014,MTSU,35,FL Atlantic,34
11/22/2014,Minnesota,28,Nebraska,24
11/22/2014,North Texas,17,Florida Intl,14
11/22/2014,Oklahoma,44,Kansas,7
11/22/2014,Marshall,23,UAB,18
11/22/2014,WKU,45,UT San Antonio,7
11/22/2014,Baylor,49,Oklahoma St,28
11/22/2014,Wisconsin,26,Iowa,24
11/22/2014,Mississippi St,51,Vanderbilt,0
11/22/2014,Arizona St,52,Washington St,31
11/22/2014,BYU,64,Savannah St,0
11/22/2014,Colorado St,58,New Mexico,20
11/22/2014,Arizona,42,Utah,10
11/22/2014,Boise St,63,Wyoming,14
11/22/2014,Fresno St,40,Nevada,20
11/22/2014,Oregon,44,Colorado,10
11/22/2014,Washington,37,Oregon St,13
11/22/2014,Stanford,38,California,17
11/22/2014,UCLA,38,USC,20
11/22/2014,Louisville,31,Notre Dame,28
11/22/2014,Hawaii,37,UNLV,35
11/22/2014,ULM,30,New Mexico St,17
11/25/2014,Ohio,24,Miami OH,21
11/27/2014,TCU,48,Texas,10
11/27/2014,LSU,23,Texas A&M,17
11/28/2014,Kent,27,Akron,24
11/28/2014,Ball St,41,Bowling Green,24
11/28/2014,Toledo,52,E Michigan,16
11/28/2014,WKU,67,Marshall,66
11/28/2014,Buffalo,41,Massachusetts,21
11/28/2014,Virginia Tech,24,Virginia,20
11/28/2014,N Illinois,31,W Michigan,21
11/28/2014,UCF,16,South Florida,0
11/28/2014,Nebraska,37,Iowa,34
11/28/2014,Houston,35,SMU,9
11/28/2014,Navy,42,South Alabama,40
11/28/2014,East Carolina,49,Tulsa,32
11/28/2014,Arizona,42,Arizona St,35
11/28/2014,Stanford,31,UCLA,10
11/28/2014,Air Force,27,Colorado St,24
11/28/2014,Missouri,21,Arkansas,14
11/29/2014,Appalachian St,45,Idaho,28
11/29/2014,Boston College,28,Syracuse,7
11/29/2014,Duke,41,Wake Forest,21
11/29/2014,Old Dominion,31,FL Atlantic,28
11/29/2014,Florida St,24,Florida,19
11/29/2014,Georgia Tech,30,Georgia,24
11/29/2014,Texas St,54,Georgia St,31
11/29/2014,Indiana,23,Purdue,16
11/29/2014,Louisville,44,Kentucky,40
11/29/2014,Rutgers,41,Maryland,38
11/29/2014,Pittsburgh,35,Miami FL,23
11/29/2014,NC State,35,North Carolina,7
11/29/2014,Ohio St,42,Michigan,28
11/29/2014,Cincinnati,14,Temple,6
11/29/2014,Michigan St,34,Penn St,10
11/29/2014,Clemson,35,South Carolina,17
11/29/2014,Arkansas St,68,New Mexico St,35
11/29/2014,Baylor,48,Texas Tech,46
11/29/2014,West Virginia,37,Iowa St,24
11/29/2014,Kansas St,51,Kansas,13
11/29/2014,Louisiana Tech,76,Rice,31
11/29/2014,Memphis,41,Connecticut,10
11/29/2014,Illinois,47,Northwestern,33
11/29/2014,Mississippi,31,Mississippi St,17
11/29/2014,UAB,45,Southern Miss,24
11/29/2014,ULL,42,Troy,23
11/29/2014,UT San Antonio,34,North Texas,27
11/29/2014,Tennessee,24,Vanderbilt,17
11/29/2014,Wisconsin,34,Minnesota,24
11/29/2014,Alabama,55,Auburn,44
11/29/2014,Boise St,50,Utah St,19
11/29/2014,Utah,38,Colorado,34
11/29/2014,New Mexico,36,Wyoming,30
11/29/2014,UTEP,24,MTSU,21
11/29/2014,BYU,42,California,35
11/29/2014,Fresno St,28,Hawaii,21
11/29/2014,Nevada,49,UNLV,27
11/29/2014,Oregon,47,Oregon St,19
11/29/2014,USC,49,Notre Dame,14
11/29/2014,Washington,31,Washington St,13
11/29/2014,San Diego St,38,San Jose St,7
11/29/2014,Ga Southern,22,ULM,16
12/4/2014,UCF,32,East Carolina,30
12/5/2014,N Illinois,51,Bowling Green,17
12/5/2014,Oregon,51,Arizona,13
12/6/2014,Cincinnati,38,Houston,31
12/6/2014,SMU,27,Connecticut,20
12/6/2014,Baylor,38,Kansas St,27
12/6/2014,TCU,55,Iowa St,3
12/6/2014,Temple,10,Tulane,3
12/6/2014,Oklahoma St,38,Oklahoma,35
12/6/2014,Alabama,42,Missouri,13
12/6/2014,Boise St,28,Fresno St,14
12/6/2014,Florida St,37,Georgia Tech,35
12/6/2014,Marshall,26,Louisiana Tech,23
12/6/2014,Ohio St,59,Wisconsin,0
12/13/2014,Navy,17,Army,10
12/20/2014,ULL,16,Nevada,3
12/20/2014,Utah St,21,UTEP,6
12/20/2014,Utah,45,Colorado St,10
12/20/2014,Air Force,38,W Michigan,24
12/20/2014,Bowling Green,33,South Alabama,28
12/22/2014,Memphis,55,BYU,48
12/23/2014,Marshall,52,N Illinois,23
12/23/2014,Navy,17,San Diego St,16
12/24/2014,WKU,49,C Michigan,48
12/24/2014,Rice,30,Fresno St,6
12/26/2014,Louisiana Tech,35,Illinois,18
12/26/2014,Rutgers,40,North Carolina,21
12/26/2014,NC State,34,UCF,27
12/27/2014,Virginia Tech,33,Cincinnati,17
12/27/2014,Arizona St,36,Duke,31
12/27/2014,South Carolina,24,Miami FL,21
12/27/2014,Penn St,31,Boston College,30
12/27/2014,USC,45,Nebraska,42
12/29/2014,Texas A&M,45,West Virginia,37
12/29/2014,Clemson,40,Oklahoma,6
12/29/2014,Arkansas,31,Texas,7
12/30/2014,Notre Dame,31,LSU,28
12/30/2014,Georgia,37,Louisville,14
12/30/2014,Stanford,45,Maryland,21
12/31/2014,TCU,42,Mississippi,3
12/31/2014,Boise St,38,Arizona,30
12/31/2014,Georgia Tech,49,Mississippi St,34
1/1/2015,Oregon,59,Florida St,20
1/1/2015,Ohio St,42,Alabama,35
1/1/2015,Wisconsin,34,Auburn,31
1/1/2015,Michigan St,42,Baylor,41
1/1/2015,Missouri,33,Minnesota,17
1/2/2015,Houston,35,Pittsburgh,34
1/2/2015,Tennessee,45,Iowa,28
1/2/2015,UCLA,40,Kansas St,35
1/2/2015,Oklahoma St,30,Washington,22
1/3/2015,Florida,28,East Carolina,20
1/4/2015,Toledo,63,Arkansas St,44
1/12/2015,Ohio St,42,Oregon,20
